"PMCID","sentence_id","top_section","CONSORT_Item","sentence_text","labels"
"PMC4797126","S1","Title","['0']","title","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S2","Title","['1a']","a randomized trial of the efficacy and safety of quilizumab in adults with inadequately controlled allergic asthma","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"PMC4797126","S3","Abstract","['0']","abstract","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S4","Background","['0']","background","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S5","Background","['1b']","quilizumab  a humanized igg1 monoclonal antibody  targets the m1-prime segment of membrane-expressed ige  leading to depletion of ige-switched and memory b cells.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S6","Background","['0']","in patients with mild asthma  quilizumab reduced serum ige and attenuated the early and late asthmatic reaction following whole lung allergen challenge.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S7","Background","['0']","this study evaluated the efficacy and safety of quilizumab in adults with allergic asthma  inadequately controlled despite high-dose inhaled corticosteroids (ics) and a second controller.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S8","Methods","['0']","methods","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S9","Methods","['0']","five hundred seventy-eight patients were randomized to monthly or quarterly dosing regimens of subcutaneous quilizumab or placebo for 36 weeks  with a 48-week safety follow-up.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S10","Methods","['0']","quilizumab was evaluated for effects on the rate of asthma exacerbations  lung function  patient symptoms  serum ige  and pharmacokinetics.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
