sentence_id,PMCID,CONSORT_Item_partial,CONSORT_Item_methods
S39,PMC5418559,"['3a', '23', '14a', '4b']","['3a', '4b']"
S84,PMC5418559,['16'],['0']
S41,PMC3103669,['23'],['0']
S45,PMC3103669,['14a'],['0']
S39,PMC3386495,['24'],['0']
S41,PMC3386495,"['4a', '24']",['4a']
S47,PMC3386495,['23'],['0']
S49,PMC3386495,['15'],['0']
S103,PMC3386495,['16'],['0']
S44,PMC3028347,['14a'],['0']
S62,PMC3028347,"['15', '5']",['5']
S38,PMC5099201,"['4a', '14a', '3a']","['4a', '3a']"
S43,PMC5099201,['23'],['0']
S39,PMC4621368,"['4b', '14a']",['4b']
S40,PMC4145439,"['3a', '14a', '4a']","['3a', '4a']"
S46,PMC4145439,['16'],['0']
S50,PMC4145439,"['13a', '13b']",['0']
S49,PMC3036630,['23'],['0']
S53,PMC3036630,['13a'],['0']
S45,PMC4085478,"['13a', '13b', '16']",['0']
S83,PMC4085478,['13b'],['0']
S38,PMC4770816,"['4b', '14a']",['4b']
S49,PMC3002834,['23'],['0']
S58,PMC3002834,"['6a', '16']",['6a']
S59,PMC3002834,"['6a', '16']",['6a']
S49,PMC3002766,"['4b', '14a']",['4b']
S54,PMC5009486,"['3a', '14a', '23', '4b']","['3a', '4b']"
S88,PMC3590447,['23'],['0']
S33,PMC3242163,"['4a', '14a', '5', '3a']","['4a', '5', '3a']"
S55,PMC4392313,"['11a', '5', '14a', '8a']","['11a', '5', '8a']"
S59,PMC4392313,"['23', '6a']",['6a']
S60,PMC4392313,['24'],['0']
S61,PMC4392313,"['3a', '5', '13a', '13b', '16']","['3a', '5']"
S41,PMC3551223,"['3a', '23']",['3a']
S54,PMC5064025,['14a'],['0']
S90,PMC5064025,['25'],['0']
S72,PMC3668094,['16'],['0']
S73,PMC3668094,['16'],['0']
S46,PMC3016167,['25'],['0']
S48,PMC3016167,"['4a', '14a']",['4a']
S63,PMC3016167,['16'],['0']
S70,PMC3016167,"['4a', '14a']",['4a']
S28,PMC3623038,['23'],['0']
S31,PMC3623038,['14a'],['0']
S59,PMC3623038,['15'],['0']
S40,PMC3391717,['24'],['0']
S86,PMC3391717,['23'],['0']
S42,PMC3502035,['14a'],['0']
S39,PMC4469977,['24'],['0']
S41,PMC4213545,['14a'],['0']
S37,PMC3266479,"['4b', '3a', '14a']","['4b', '3a']"
S44,PMC3266479,['24'],['0']
S89,PMC3266479,['23'],['0']
S40,PMC4431679,"['3a', '4b', '14a']","['3a', '4b']"
S50,PMC4431679,"['8a', '15']",['8a']
S56,PMC4431679,['24'],['0']
S36,PMC3944682,['13a'],['0']
S37,PMC3944682,['13a'],['0']
S38,PMC3944682,['13a'],['0']
S101,PMC3944682,"['12a', '7b', '16']","['12a', '7b']"
S50,PMC3018567,"['4b', '14a']",['4b']
S142,PMC3420230,['24'],['0']
S82,PMC3070271,['23'],['0']
S43,PMC4066691,"['4b', '23']",['4b']
S40,PMC4902320,['23'],['0']
S44,PMC4902320,"['14a', '4a']",['4a']
S55,PMC4902320,['14a'],['0']
S105,PMC4515982,['23'],['0']
S88,PMC3641608,['23'],['0']
S90,PMC3641608,['25'],['0']
S39,PMC5033259,"['4b', '14a']",['4b']
S55,PMC5033259,['17a'],['0']
S56,PMC5033259,['17a'],['0']
S49,PMC3348565,"['14a', '3a', '4b']","['3a', '4b']"
S50,PMC3348565,['14a'],['0']
S100,PMC3348565,['16'],['0']
S101,PMC3348565,['16'],['0']
S106,PMC3348565,['23'],['0']
